Call ID,Call Summary
C_001,Customer was satisfied with the assistance. Customer questioned the recent charges.
C_002,Customer asked about upcoming plan changes. Customer asked for a return call to discuss further.
C_003,Customer was unhappy about the billing error.
C_004,Customer requested help setting up voicemail. Customer faced delays in SIM activation. Customer was insisting to talk to a senior
C_005,Customer expressed concern about data speed.
C_006,Customer requested help setting up voicemail.
C_007,Customer was satisfied with the assistance.
C_008,Customer wanted to understand the loyalty benefits. Customer was unhappy about the billing error. Customer asked to be contacted later.
C_009,Customer requested help setting up voicemail. Customer expressed disappointment over network issues. Customer asked for a return call to discuss further.
C_010,Customer requested information on international calling rates.
C_011,Customer asked about prepaid to postpaid migration. Customer was unhappy about the billing error. Customer asked for a return call to discuss further.
C_012,Customer requested a detailed bill explanation. Customer found the data plan confusing.
C_013,Customer found the data plan confusing. Customer preferred a callback at a convenient time.
C_014,Customer requested a detailed bill explanation. Customer requested help setting up voicemail.
C_015,Customer found the data plan confusing.
C_016,Customer appreciated the quick resolution. Customer questioned the recent charges.
C_017,Customer expressed disappointment over network issues. Customer found the data plan confusing.
C_018,Customer was unhappy about the billing error. Customer asked to be contacted later.
C_019,Customer was satisfied with the assistance. Customer requested information on international calling rates.
C_020,Customer expressed concern about data speed.
C_021,Customer wanted clarification on FUP limits. Customer questioned the recent charges. Customer preferred to be contacted later.
C_022,Customer expressed concern about data speed. Customer was unhappy about the billing error. Customer requested a follow-up call.
C_023,Customer thanked the agent for clarity. Customer wanted to understand the loyalty benefits. Customer requested a follow-up call.
C_024,Customer was satisfied with the assistance. Customer wanted to understand the loyalty benefits.
C_025,Customer requested help setting up voicemail. Customer needed clarification on roaming charges.
C_026,Customer asked about upcoming plan changes.
C_027,Customer expressed disappointment over network issues. Customer requested to escalate the matter to management.
C_028,Customer was upset due to frequent call drops.
C_029,Customer was unhappy about the billing error.
C_030,Customer was upset due to frequent call drops.
C_031,Customer was unhappy about the billing error.
C_032,Customer found the data plan confusing.
C_033,Customer enquired about new data plans. Customer requested information on international calling rates.
C_034,Customer asked about upcoming plan changes. Customer found the data plan confusing. Customer asked for a return call to discuss further.
C_035,Customer wanted clarification on FUP limits. Customer needed clarification on roaming charges.
C_036,Customer asked about upcoming plan changes. Customer asked to be contacted later.
C_037,Customer checked eligibility for device upgrade. Customer expressed concern about data speed. Customer asked to be contacted later.
C_038,Customer thanked the agent for clarity.
C_039,Customer asked about prepaid to postpaid migration. Customer expressed disappointment over network issues.
C_040,Customer wanted to understand the loyalty benefits. Customer was satisfied with the assistance.
C_041,Customer was unhappy about the billing error.
C_042,Customer was satisfied with the assistance.
C_043,Customer was satisfied with the assistance. Customer asked for a return call to discuss further.
C_044,Customer thanked the agent for clarity. Customer expressed disappointment over network issues.
C_045,Customer needed clarification on roaming charges.
C_046,Customer asked about upcoming plan changes.
C_047,Customer appreciated the quick resolution. Customer asked for a return call to discuss further.
C_048,Customer was upset due to frequent call drops.
C_049,Customer wanted clarification on FUP limits.
C_050,Customer expressed disappointment over network issues. Customer checked eligibility for device upgrade.
C_051,Customer enquired about new data plans. Customer expressed disappointment over network issues. Customer warned that he will get in touch with the management
C_052,Customer requested a detailed bill explanation.
C_053,Customer wanted to understand the loyalty benefits. Customer expressed concern about data speed.
C_054,Customer faced delays in SIM activation. Customer enquired about new data plans.
C_055,Customer requested help setting up voicemail. Customer faced delays in SIM activation.
C_056,Customer enquired about new data plans.
C_057,Customer was unhappy about the billing error.
C_058,Customer wanted clarification on FUP limits.
C_059,Customer expressed disappointment over network issues. Customer asked about prepaid to postpaid migration. Customer requested a follow-up call.
C_060,Customer requested information on international calling rates. Customer asked about prepaid to postpaid migration.
C_061,Customer thanked the agent for clarity. Customer wanted clarification on FUP limits.
C_062,Customer expressed disappointment over network issues. Customer wanted to understand the loyalty benefits. Customer asked for a return call to discuss further.
C_063,Customer was satisfied with the assistance.
C_064,Customer expressed disappointment over network issues. Customer asked for a return call to discuss further.
C_065,Customer questioned the recent charges. Customer was upset due to frequent call drops.
C_066,Customer asked about upcoming plan changes.
C_067,Customer was upset due to frequent call drops. Customer wanted to lodge a formal complaint.
C_068,Customer asked about upcoming plan changes. Customer faced delays in SIM activation.
C_069,Customer was upset due to frequent call drops. Customer was satisfied with the assistance.
C_070,Customer wanted clarification on FUP limits. Customer asked about prepaid to postpaid migration.
C_071,Customer enquired about new data plans. Customer asked about upcoming plan changes.
C_072,Customer faced delays in SIM activation. Customer requested a follow-up call.
C_073,Customer was upset due to frequent call drops. Customer faced delays in SIM activation. Customer wanted to set up a call later.
